old_device_name,device_name,manufacturer,model,device_serial,old_alaska_bmc_ip,new_bmc_ip
sv-b16-u33-34,sv-br19-u33,Dell,R730,2ZM04J2,10.45.253.1,10.45.103.1
sv-b16-u31-32,sv-br19-u31,Dell,R730xd,46SN1H2,10.45.253.2,10.45.103.2
sv-b16-u29-30,sv-br19-u29,Dell,R730xd,46RV1H2,10.45.253.3,10.45.103.3
sv-b16-u27-28,sv-br19-u27,Dell,R730xd,2N1NRH2,10.45.253.4,10.45.103.4
sv-b16-u25-26,sv-br19-u25,Dell,R730,2ZM54J2,10.45.253.5,10.45.103.5
sv-b16-u23,sv-br19-u23,Dell,R630,2MJW1H2,10.45.253.6,10.45.103.6
sv-b16-u22,sv-br19-u22,Dell,R630,2MFT1H2,10.45.253.7,10.45.103.7
sv-b16-u21,sv-br19-u21,Dell,R630,2MHW1H2,10.45.253.8,10.45.103.8
sv-b16-u20,sv-br19-u20,Dell,R630,30C24J2,10.45.253.9,10.45.103.9
sv-b16-u19,sv-br19-u19,Dell,R630,30BY3J2,10.45.253.10,10.45.103.10
sv-b16-u18,sv-br19-u18,Dell,R630,30G34J2,10.45.253.11,10.45.103.11
sv-b16-u17,sv-br19-u17,Dell,R630,30F34J2,10.45.253.12,10.45.103.12
sv-b16-u16,sv-br19-u16,Dell,R630,30D34J2,10.45.253.13,10.45.103.13
sv-b16-u15,sv-br19-u15,Dell,R630,30C44J2,10.45.253.14,10.45.103.14
sv-b16-u14,sv-br19-u14,Dell,R630,30B14J2,10.45.253.15,10.45.103.15
sv-b16-u13,sv-br19-u13,Dell,R630,30CZ3J2,10.45.253.16,10.45.103.16
sv-b16-u12,sv-br19-u12,Dell,R630,30DX3J2,10.45.253.17,10.45.103.17
sv-b16-u11,sv-br19-u11,Dell,R630,30FY3J2,10.45.253.18,10.45.103.18
sv-b16-u10,sv-br19-u10,Dell,R630,30N04J2,10.45.253.19,10.45.103.19
sv-b16-u9,sv-br19-u9,Dell,R630,30NY3J2,10.45.253.20,10.45.103.20
sv-b16-u8,sv-br19-u8,Dell,R630,30PX3J2,10.45.253.21,10.45.103.21
sv-b16-u7,sv-br19-u7,Dell,R630,30QY3J2,10.45.253.22,10.45.103.22
sv-b16-u6,sv-br19-u6,Dell,R630,30H14J2,10.45.253.23,10.45.103.23
sv-b16-u5,sv-br19-u5,Dell,R630,30R24J2,10.45.253.24,10.45.103.24
sv-b16-u4,sv-br19-u4,Dell,R630,2YXZ3J2,10.45.253.25,10.45.103.25
sv-b16-u3,sv-br19-u3,Dell,R630,2YYY3J2,10.45.253.26,10.45.103.26
gpu-b16-u2,gpu-br19-u2,Dell,C4130,8TH14J2,10.45.253.27,10.45.103.27
gpu-b16-u1,gpu-br19-u1,Dell,C4130,8TFY3J2,10.45.253.28,10.45.103.28
sv-b17-u37,sv-br20-u37,Dell,R630,30M24J2,10.45.253.29,10.45.103.29
sv-b17-u36-alt1,sv-br20-u36,Dell,R630,30JZ3J2,10.45.253.30,10.45.103.30
sv-b17-u35,sv-br20-u35,Dell,R630,2YY04J2,10.45.253.31,10.45.103.31
sv-b17-u34,sv-br20-u34,Dell,R630,2Z024J2,10.45.253.32,10.45.103.32
sv-b17-u33,sv-br20-u33,Dell,R630,2YX34J2,10.45.253.33,10.45.103.33
sv-b17-u32,sv-br20-u32,Dell,R630,30J34J2,10.45.253.34,10.45.103.34
sv-b17-u31,sv-br20-u31,Dell,R630,30KX3J2,10.45.253.35,10.45.103.35
sv-b17-u30,sv-br20-u30,Dell,R630,2Z114J2,10.45.253.36,10.45.103.36
sv-b17-u29,sv-br20-u29,Dell,R630,2YW44J2,10.45.253.37,10.45.103.37
sv-b17-u28,sv-br20-u28,Dell,R630,2YTZ3J2,10.45.253.38,10.45.103.38
sv-b17-u27,sv-br20-u27,Dell,R630,2YZ04J2,10.45.253.39,10.45.103.39
