old_device_name,device_name,manufacturer,model,device_serial,old_alaska_bmc_ip,new_bmc_ip
gpu-b16-u2,gpu-br19-u2,Dell,C4130,8TH14J2,10.45.253.27,10.45.103.27
sv-b16-u10,sv-br19-u10,Dell,R630,30N04J2,10.45.253.19,10.45.103.19
sv-b16-u15,sv-br19-u15,Dell,R630,30C44J2,10.45.253.14,10.45.103.14
sv-b16-u18,sv-br19-u18,Dell,R630,30G34J2,10.45.253.11,10.45.103.11
sv-b16-u27-28,sv-br19-u27,Dell,R730xd,2N1NRH2,10.45.253.4,10.45.103.4
sv-b16-u33-34,sv-br19-u33,Dell,R730,2ZM04J2,10.45.253.1,10.45.103.1
sv-b16-u6,sv-br19-u6,Dell,R630,30H14J2,10.45.253.23,10.45.103.23
sv-b16-u7,sv-br19-u7,Dell,R630,30QY3J2,10.45.253.22,10.45.103.22
sv-b16-u8,sv-br19-u8,Dell,R630,30PX3J2,10.45.253.21,10.45.103.21
sv-b16-u9,sv-br19-u9,Dell,R630,30NY3J2,10.45.253.20,10.45.103.20
sv-b17-u27,sv-br20-u27,Dell,R630,2YZ04J2,10.45.253.39,10.45.103.39
sv-b17-u28,sv-br20-u28,Dell,R630,2YTZ3J2,10.45.253.38,10.45.103.38
sv-b17-u33,sv-br20-u33,Dell,R630,2YX34J2,10.45.253.33,10.45.103.33
sv-b17-u36-alt1,sv-br20-u36,Dell,R630,30JZ3J2,10.45.253.30,10.45.103.30
sv-b17-u37,sv-br20-u37,Dell,R630,30M24J2,10.45.253.29,10.45.103.29
